vehicle_id,Hired Status
SHC4077S,Hired
SHC4089H,Hired
SHC4092Y,Hired
SHC4096L,Hired
SHC4101E,Hired
SHC4103A,Hired
SHC4127G,Hired
SHC4130X,Hired
SHC4141P,Hired
SHC4149T,Hired
SHC4157U,Hired
SHC4172A,Hired
SHC4188E,Hired
SHC4198B,Hired
SHC4208G,Hired
SHC4218C,Hired
SHC4264T,Hired
SHC4272U,Hired
SHC4278D,Hired
SHC4301U,Hired
SHC4321L,Hired
SHC4325B,Hired
SHC4384E,Hired
SHC4400S,Hired
SHC4456G,Hired
SHC4459Z,Hired
SHC4470P,Hired
SHC4471L,Hired
SHC4483C,Hired
SHC4489L,Hired
SHC4492B,Hired
SHC4500L,Hired
SHC4504B,Hired
SHC4509M,Hired
SHC4510H,Hired
SHC4521B,Hired
SHC4528H,Hired
SHC4529E,Hired
SHC4534P,Hired
SHC4535L,Hired
SHC4537G,Hired
SHC4540X,Hired
SHC4557Z,Hired
SHC4559T,Hired
SHC4560M,Hired
SHC4565A,Hired
SHC4566Y,Hired
SHC4567U,Hired
SHC4568S,Hired
SHC4569P,Hired
SHC4573B,Hired
SHC4579K,Hired
SHC4580E,Hired
SHC4583Y,Hired
SHC4587L,Hired
SHC4588J,Hired
SHC4590B,Hired
SHC4591Z,Hired
SHC4595M,Hired
SHC4597H,Hired
SHC4598E,Hired
SHC4599C,Hired
SHC4601D,Hired
SHC4604X,Hired
SHC4605T,Hired
SHC4607M,Hired
SHC4608K,Hired
SHC4609H,Hired
SHC4614S,Hired
SHC4615P,Hired
SHC4616L,Hired
SHC4617J,Hired
SHC4619D,Hired
SHC4628C,Hired
SHC4629A,Hired
SHC4634J,Hired
SHC4639X,Hired
SHC4642K,Hired
SHC4643H,Hired
SHC4645C,Hired
SHC4651J,Hired
SHC4653D,Hired
SHC4654B,Hired
SHC4655Z,Hired
SHC4657T,Hired
SHC4660H,Hired
SHC4667P,Hired
SHC4671B,Hired
SHC4673X,Hired
SHC4678H,Hired
SHC4682U,Hired
SHC4684P,Hired
SHC4690X,Hired
SHC4694K,Hired
SHC4696E,Hired
SHC4698A,Hired
SHC4699Y,Hired
SHC4701Z,Hired
SHC4702X,Hired
SHC4703T,Hired
SHC4705M,Hired
SHC4706K,Hired
SHC4707H,Hired
SHC4711U,Hired
SHC4712S,Hired
SHC4713P,Hired
SHC4714L,Hired
SHC4716G,Hired
SHC4717D,Hired
SHC4718B,Hired
SHC4720T,Hired
SHC4723K,Hired
SHC4724H,Hired
SHC4727A,Hired
SHC4728Y,Hired
SHC4730P,Hired
SHC4731L,Hired
SHC4734D,Hired
SHC4735B,Hired
SHC4736Z,Hired
SHC4738T,Hired
SHC4741H,Hired
SHC4745Y,Hired
SHC4747S,Hired
SHC4748P,Hired
SHC4749L,Hired
SHC4751D,Hired
SHC4752B,Hired
SHC4754X,Hired
SHC4755T,Hired
SHC4756R,Hired
SHC4757M,Hired
SHC4758K,Hired
SHC4759H,Hired
SHC4760C,Hired
SHC4764S,Hired
SHC4765P,Hired
SHC4766L,Hired
SHC4767J,Hired
SHC4768G,Hired
SHC4769D,Hired
SHC4770Z,Hired
SHC4773R,Hired
SHC4774M,Hired
SHC4775K,Hired
SHC4777E,Hired
SHC4779A,Hired
SHC4780U,Hired
SHC4781S,Hired
SHC4782P,Hired
SHC4783L,Hired
SHC4786D,Hired
SHC4787B,Hired
SHC4788Z,Hired
SHC4789X,Hired
SHC4790R,Hired
SHC4791M,Hired
SHC4792K,Hired
SHC4794E,Hired
SHC4795C,Hired
SHC4797Y,Hired
SHC4798U,Hired
SHC4800X,Hired
SHC4803M,Hired
SHC4806E,Hired
SHC4812L,Hired
SHC4820M,Hired
SHC4827U,Hired
SHC4847L,Hired
SHC4853T,Hired
SHC4854R,Hired
SHC4860Y,Hired
SHC4861U,Hired
SHC4862S,Hired
SHC4869Z,Hired
SHC4870T,Hired
SHC4873K,Hired
SHC4876C,Hired
SHC4877A,Hired
SHC4878Y,Hired
SHC4881L,Hired
SHC4882J,Hired
SHC4886Z,Hired
SHC4888T,Hired
SHC4891H,Hired
SHC4894A,Hired
SHC4896U,Hired
SHC4897S,Hired
SHC4898P,Hired
SHC4899L,Hired
SHC4901M,Hired
SHC4902K,Hired
SHC4907Y,Hired
SHC4909S,Hired
SHC4910L,Hired
SHC4916X,Hired
SHC4920H,Hired
SHC4921E,Hired
SHC4922C,Hired
SHC4923A,Hired
SHC4926S,Hired
SHC4929J,Hired
SHC4933X,Hired
SHC4936M,Hired
SHC4937K,Hired
SHC4942U,Hired
SHC4946J,Hired
SHC4950X,Hired
SHC4951T,Hired
SHC4958A,Hired
SHC4960S,Hired
SHC4971K,Hired
SHC4973E,Hired
SHC4976Y,Hired
SHC4981G,Hired
SHC4983B,Hired
SHC4986T,Hired
SHC4988M,Hired
SHC4989K,Hired
SHC4991C,Hired
SHC4992A,Hired
SHC4997L,Hired
SHD6005G,Hired
SHD6008Z,Hired
SHD6009X,Hired
SHD6011M,Hired
SHD6012K,Hired
SHD6014E,Hired
SHD6016A,Hired
SHD6022G,Hired
SHD6030H,Hired
SHD6031E,Hired
SHD6032C,Hired
SHD6040D,Hired
SHD6042Z,Hired
SHD6055L,Hired
SHD6061T,Hired
SHD6067C,Hired
SHD6070S,Hired
SHD6071P,Hired
SHD6073J,Hired
SHD6074G,Hired
SHD6077Z,Hired
SHD6081K,Hired
SHD6085A,Hired
SHD6086Y,Hired
SHD6087U,Hired
SHD6088S,Hired
SHD6093B,Hired
SHD6095X,Hired
SHD6096T,Hired
SHD6105B,Hired
SHD6107X,Hired
SHD6111H,Hired
SHD6115Y,Hired
SHD6117S,Hired
SHD6118P,Hired
SHD6119L,Hired
SHD6122B,Hired
SHD6123Z,Hired
SHD6126R,Hired
SHD6128K,Hired
SHD6130C,Hired
SHD6131A,Hired
SHD6132Y,Hired
SHD6133U,Hired
SHD6138G,Hired
SHD6139D,Hired
SHD6140Z,Hired
SHD6146H,Hired
SHD6152P,Hired
SHD6155G,Hired
SHD6158Z,Hired
SHD6160R,Hired
SHD6163H,Hired
SHD6166A,Hired
SHD6169S,Hired
SHD6172G,Hired
SHD6173D,Hired
SHD6174B,Hired
SHD6177T,Hired
SHD6180H,Hired
SHD6183A,Hired
SHD6186S,Hired
SHD6187P,Hired
SHD6188L,Hired
SHD6189J,Hired
SHD6191B,Hired
SHD6195R,Hired
SHD6199E,Hired
SHD6202D,Hired
SHD6208M,Hired
SHD6211C,Hired
SHD6212A,Hired
SHD6213Y,Hired
SHD6214U,Hired
SHD6218J,Hired
SHD6219G,Hired
SHD6220B,Hired
SHD6221Z,Hired
SHD6223T,Hired
SHD6224R,Hired
SHD6231U,Hired
SHD6233P,Hired
SHD6234L,Hired
SHD6235J,Hired
SHD6237D,Hired
SHD6241R,Hired
SHD6248Y,Hired
SHD6256Z,Hired
SHD6260K,Hired
SHD6261H,Hired
SHD6264A,Hired
SHD6268P,Hired
SHD6269L,Hired
SHD6270G,Hired
SHD6272B,Hired
SHD6273Z,Hired
SHD6274X,Hired
SHD6275T,Hired
SHD6276R,Hired
SHD6277M,Hired
SHD6279H,Hired
SHD6280C,Hired
SHD6281A,Hired
SHD6282Y,Hired
SHD6285P,Hired
SHD6288G,Hired
SHD6295K,Hired
SHD6297E,Hired
SHD6298C,Hired
SHD6303X,Hired
SHD6310A,Hired
SHD6311Y,Hired
SHD6312U,Hired
SHD6313S,Hired
SHD6315L,Hired
SHD6318D,Hired
SHD6320X,Hired
SHD6321T,Hired
SHD6323M,Hired
SHD6330S,Hired
SHD6331P,Hired
SHD6332L,Hired
SHD6333J,Hired
SHD6334G,Hired
SHD6335D,Hired
SHD6336B,Hired
SHD6337Z,Hired
SHD6339T,Hired
SHD6347U,Hired
SHD6348S,Hired
SHD6351G,Hired
SHD6353B,Hired
SHD6355X,Hired
SHD6359K,Hired
SHD6361C,Hired
SHD6363Y,Hired
SHD6368J,Hired
SHD6370B,Hired
SHD6376K,Hired
SHD6379C,Hired
SHD6397A,Hired
SHD6399U,Hired
SHD6402T,Hired
SHD6404M,Hired
SHD6417B,Hired
SHD6423H,Hired
SHD6425C,Hired
SHD6428U,Hired
SHD6434B,Hired
SHD6444Y,Hired
SHD6445U,Hired
SHD6447P,Hired
SHD6448L,Hired
SHD6453X,Hired
SHD6456M,Hired
SHD6457K,Hired
SHD6462U,Hired
SHD6464P,Hired
SHD6465L,Hired
SHD6467G,Hired
SHD6470X,Hired
SHD6473M,Hired
SHD6480S,Hired
SHD6484G,Hired
SHD6488X,Hired
SHD6489T,Hired
SHD6493E,Hired
SHD6498S,Hired
SHD6499P,Hired
SHF1001P,Hired
SHF1002L,Hired
SHF1005D,Hired
SHF1006B,Hired
SHF1009T,Hired
SHF1012H,Hired
SHF1014C,Hired
SHF1023B,Hired
SHF1026T,Hired
SHF1027R,Hired
SHF1029K,Hired
SHF1039G,Hired
SHF1040B,Hired
SHF1042X,Hired
SHF1043T,Hired
SHF105E,Hired
SHF106C,Hired
SHF107A,Hired
SHF108Y,Hired
SHF111L,Hired
SHF113G,Hired
SHF119R,Hired
SHF11S,Hired
SHF120K,Hired
SHF121H,Hired
SHF122E,Hired
SHF123C,Hired
SHF125Y,Hired
SHF127S,Hired
SHF130G,Hired
SHF132B,Hired
SHF142Y,Hired
SHF147J,Hired
SHF150Z,Hired
SHF155K,Hired
SHF163L,Hired
SHF164J,Hired
SHF165G,Hired
SHF16D,Hired
SHF176A,Hired
SHF179S,Hired
SHF180L,Hired
SHF181J,Hired
SHF184B,Hired
SHF187T,Hired
SHF188R,Hired
SHF189M,Hired
SHF18Z,Hired
SHF190H,Hired
SHF193A,Hired
SHF194Y,Hired
SHF195U,Hired
SHF197P,Hired
SHF198L,Hired
SHF1X,Hired
SHF200M,Hired
SHF206Y,Hired
SHF207U,Hired
SHF208S,Hired
SHF209P,Hired
SHF210J,Hired
SHF218M,Hired
SHF220E,Hired
SHF222A,Hired
SHF225S,Hired
SHF228J,Hired
SHF22K,Hired
SHF232X,Hired
SHF233T,Hired
SHF234R,Hired
SHF237H,Hired
SHF238E,Hired
SHF244L,Hired
SHF248B,Hired
SHF253K,Hired
SHF255E,Hired
SHF259U,Hired
SHF260P,Hired
SHF265B,Hired
SHF268T,Hired
SHF276U,Hired
SHF277S,Hired
SHF279L,Hired
SHF280G,Hired
SHF282B,Hired
SHF283Z,Hired
SHF286R,Hired
SHF288K,Hired
SHF292Y,Hired
SHF296L,Hired
SHF297J,Hired
SHF2T,Hired
SHF303A,Hired
SHF305U,Hired
SHF30L,Hired
SHF312Z,Hired
SHF31J,Hired
SHF324P,Hired
SHF327G,Hired
SHF329B,Hired
SHF330X,Hired
SHF333M,Hired
SHF335H,Hired
SHF337C,Hired
SHF339Y,Hired
SHF341P,Hired
SHF346B,Hired
SHF348X,Hired
SHF350M,Hired
SHF351K,Hired
SHF356Y,Hired
SHF357U,Hired
SHF359P,Hired
SHF360J,Hired
SHF361G,Hired
SHF362D,Hired
